City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Broken Hill,AU,1/26/2022 22:40,-31.95,141.4333,85.71,45,90,11.5
267,Berlevag,NO,1/26/2022 22:40,70.8578,29.0864,22.95,74,0,20.71
268,Daura,NG,1/26/2022 22:40,11.5538,11.4085,62.19,24,25,9.89
269,Calama,CL,1/26/2022 22:40,-22.4667,-68.9333,73.89,16,20,32.21
270,Khasan,RU,1/26/2022 22:40,42.4308,130.6434,18.1,58,0,18.03
271,Sechura,PE,1/26/2022 22:40,-5.5569,-80.8222,77.23,65,100,9.86
272,Ostrovnoy,RU,1/26/2022 22:40,68.0531,39.5131,10.27,90,7,17.07
273,Tambura,SS,1/26/2022 22:40,5.6,27.4667,78.66,23,99,7.43
274,Airai,TL,1/26/2022 22:40,-8.9266,125.4092,65.19,80,100,3.47
275,Sungairaya,ID,1/26/2022 22:40,0.7,108.9,76.23,90,100,6.93
276,Husavik,IS,1/26/2022 22:40,66.0449,-17.3389,28.31,73,100,9.46
277,Aras,ES,1/26/2022 22:40,42.5617,-2.356,34.72,100,0,0
278,Cairns,AU,1/26/2022 22:40,-16.9167,145.7667,81.07,88,100,2.3
279,Chimore,BO,1/26/2022 22:40,-16.9833,-65.1333,80.19,74,100,2.86
280,Aasiaat,GL,1/26/2022 22:40,68.7098,-52.8699,7.81,96,100,7.45
281,Ponnani,IN,1/26/2022 22:41,10.767,75.9252,72.72,88,86,5.55
282,Limoeiro Do Norte,BR,1/26/2022 22:41,-5.1456,-38.0981,79.54,74,100,10.4
283,Verkhoyansk,RU,1/26/2022 22:41,67.5447,133.385,-10.1,99,100,3.2
284,Brodnica,PL,1/26/2022 22:41,53.2597,19.3965,38.25,96,100,17.74
285,Praia Da Vitoria,PT,1/26/2022 22:41,38.7333,-27.0667,59.25,88,75,10.89
286,Mlonggo,ID,1/26/2022 22:41,-6.5333,110.7,76.89,88,100,10.49
287,Krasnoarmeyskiy,RU,1/26/2022 22:41,47.0114,42.2072,27.07,94,100,7.34
288,Mnogovershinnyy,RU,1/26/2022 22:41,53.9353,139.9242,-15.92,95,12,3.53
289,Corum,TR,1/26/2022 22:41,40.5,34.75,9.45,96,94,0.83
290,Kasongo-Lunda,CD,1/26/2022 22:41,-6.4667,16.8167,69.13,97,94,1.97
291,Mayo,US,1/26/2022 22:41,38.8876,-76.5119,31.19,44,40,7
292,Oranjemund,NA,1/26/2022 22:41,-28.55,16.4333,64.47,89,67,14.45
293,Emerald,AU,1/26/2022 22:41,-23.5333,148.1667,80.74,69,100,11.5
