City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
415,Barceloneta,PR,87.75,broken clouds,18.4505,-66.5385,Manati World Point Inn
418,Nicoya,CR,80.42,moderate rain,10.1483,-85.452,Las Cabinas Del Sueño
419,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
423,Emporia,US,79,clear sky,38.4039,-96.1817,Candlewood Suites Emporia
424,Duobao,CN,62.71,few clouds,30.67,112.6895,Yongsheng Hotel
425,Altamont,US,68.77,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
426,Pittsburg,US,82.26,clear sky,38.028,-121.8847,Hampton Inn & Suites Pittsburg
427,Port Hedland,AU,71.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
429,Sibolga,ID,75.9,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
430,Touros,BR,79.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
431,Praia Da Vitoria,PT,58.75,few clouds,38.7333,-27.0667,Hotel Branco I
432,Jumla,NP,54.34,scattered clouds,29.2747,82.1838,Royal Garden Hotel
434,Lazaro Cardenas,MX,85.73,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
435,Namie,JP,60.71,overcast clouds,37.4833,141,いこいの村なみえ
436,Soto La Marina,MX,87.78,clear sky,23.7667,-98.2167,Hotel Chicago
438,Jiexiu,CN,62.51,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
